pref_name,facility_name,basis,care_setting,iryoken2_code,resolved_facility_name,note
大阪府,大阪公立大学,university_hospital,care,,大阪公立大学医学部附属病院,
大阪府,大阪医科薬科大学,university_hospital,care,,大阪医科薬科大学病院,
大阪府,大阪大学,university_hospital,care,,大阪大学医学部附属病院,歯学部附属病院ではなく医学部附属病院
大阪府,近畿大学,university_hospital,care,,学校法人近畿大学　近畿大学病院,
大阪府,関西医科大学,university_hospital,care,,関西医科大学附属病院,
奈良県,奈良県立医科大学,university_hospital,care,,奈良県立医科大学附属病院,
奈良県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
奈良県,近畿大学医学部奈良病院,university_hospital,care,,近畿大学奈良病院,
宮城県,東北大学,university_hospital,care,,東北大学病院,
宮城県,若林保健福祉センター,renamed,non_care,,仙台市保健所若林支所,仙台市若林区の保健福祉センター。同一所在の保健所支所を参照点に採用
宮崎県,宮崎大学,university_hospital,care,,宮崎大学医学部附属病院,
富山県,富山大学,university_hospital,care,,国立大学法人　富山大学附属病院,
山口県,周南保健福祉センター,renamed,non_care,,山口県周南環境保健所,周南の県保健所を参照点に採用
山口県,山口大学,university_hospital,care,,山口大学医学部附属病院,
山口県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
山形県,山形大学,university_hospital,care,,国立大学法人山形大学医学部附属病院,
山梨県,山梨大学,university_hospital,care,,国立大学法人山梨大学医学部附属病院,
岐阜県,岐阜大学,university_hospital,care,,岐阜大学医学部附属病院,
岡山県,岡山大学,university_hospital,care,,岡山大学病院,
岡山県,川崎医療福祉大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
岡山県,川崎医科大学,university_hospital,care,,川崎医科大学附属病院,
岡山県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
岩手県,岩手医科大学,university_hospital,care,,岩手医科大学附属病院,
広島県,広島国際大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
広島県,広島大学,university_hospital,care,,広島大学病院,
広島県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
愛媛県,愛媛大学,university_hospital,care,,愛媛大学医学部附属病院,
愛媛県,愛媛県立医療技術大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
愛媛県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
愛知県,名古屋大学,university_hospital,care,,名古屋大学医学部附属病院,
愛知県,名古屋学芸大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
愛知県,名古屋工業大学,non_care_workplace,non_care,,名古屋工業大学保健センター,大学の保健センター
愛知県,名古屋市立大学,university_hospital,care,,名古屋市立大学病院,
愛知県,名古屋市立大学医学部付属みどり市民病院,university_hospital,care,,名古屋市立大学医学部附属みどり市民病院,付/附の表記差
愛知県,愛知医科大学,university_hospital,care,,愛知医科大学病院,
愛知県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
愛知県,藤田医科大学,university_hospital,care,,藤田医科大学病院,
愛知県,西日本電信電話株式会社,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
新潟県,新潟大学,university_hospital,care,,新潟大学医歯学総合病院,医学部と歯学部の統合病院が本院
新潟県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
東京都,Beigene Japan合同会社,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
東京都,CSLベーリング株式会社,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
東京都,アストラゼネカ株式会社,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
東京都,ファイザー株式会社,non_care_workplace,non_care,,ファイザー株式会社ウェルネスセンター,企業内の健康管理施設を所在の参照点に採用
東京都,三菱UFJ銀行,non_care_workplace,non_care,,三菱ＵＦＪ銀行健康センター（本館）,同上
東京都,公益財団法人 ライフ･エクステンション研究所附属永寿総合病院,research_institute,care,,公益財団法人ライフ・エクステンション研究所付属　永寿総合病院,永寿総合病院本院
東京都,厚生労働省,non_care_workplace,non_care,1301,,"省の勤務。霞が関の診療所を所在の参照点に採用。resolved_facility_nameでは指定できない: 「厚生労働省霞が関診療所」は参照点テーブルに医療情報ネット(iryoken2_code=1304)とP04(iryoken2_code=1301)の2件があり食い違う。霞が関(千代田区)は区中央部(1301)に属し、他の霞が関所在の参照点(裁判所共済組合本部診療所霞が関分室・一般財団法人健康医学協会附属霞が関ビル診療所等)もすべて1301に一致するため、1304は医療情報ネット側の個別レコードの誤りとみなし1301を直接指定した(issue #9 care_setting改訂時にlink_facilities.pyの検証で発覚。実装者が暫定修正)"
東京都,国立健康危機管理研究機構 国立感染症研究所,research_institute,non_care,,共助会国立感染症研究所職員診療所,感染研(新宿区戸山)の所在を示す参照点として職員診療所を採用
東京都,国立極地研究所,non_care_workplace,non_care,,国立極地研究所南極観測センター内診療所,研究所内の診療所を所在の参照点に採用
東京都,大正製薬株式会社,non_care_workplace,non_care,,大正製薬株式会社診療所,同上
東京都,帝京大学,university_hospital,care,,帝京大学医学部附属病院,
東京都,帝京平成大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
東京都,慶應義塾大学,university_hospital,care,,慶應義塾大学病院,
東京都,施設掲載なし,unassignable,,,,名簿に施設の記載なし
東京都,日本医科大学,university_hospital,care,,日本医科大学付属病院,
東京都,日本大学医学部,university_hospital,care,,学校法人日本大学　日本大学医学部附属板橋病院,
東京都,昭和医科大学,renamed,care,,昭和大学病院,2025年に昭和大学→昭和医科大学へ改称。参照側は旧名
東京都,杏林大学,university_hospital,care,,杏林大学医学部付属病院,
東京都,東京医科大学,university_hospital,care,,東京医科大学病院,
東京都,東京大学,university_hospital,care,,東京大学医学部附属病院,医科学研究所附属病院ではなく本院
東京都,東京大学医科学研究所,research_institute,care,,東京大学医科学研究所附属病院,
東京都,東京女子医科大学,university_hospital,care,,東京女子医科大学病院,
東京都,東京慈恵会医科大学,university_hospital,care,,東京慈恵会医科大学附属病院,本院
東京都,東京慈恵会医科大学西部医療センター,renamed,care,,東京慈恵会医科大学附属第三病院,第三病院が西部医療センターへ改称。参照側は旧名
東京都,東京科学大学,university_hospital,care,,東京科学大学病院,
東京都,東邦大学,university_hospital,care,,東邦大学医療センター大森病院,本院(大森)
東京都,独立行政法人医薬品医療機器総合機構,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
東京都,順天堂大学,university_hospital,care,,順天堂大学医学部附属順天堂医院,本院(順天堂医院)
栃木県,獨協医科大学,university_hospital,care,,獨協医科大学病院,
栃木県,自治医科大学,university_hospital,care,,自治医科大学附属病院,
沖縄県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
沖縄県,琉球大学,university_hospital,care,,琉球大学病院,
海外,海外勤務・留学,unassignable,,,,国外の勤務先
滋賀県,滋賀医科大学,university_hospital,care,,滋賀医科大学医学部附属病院,
熊本県,熊本大学,university_hospital,care,,熊本大学病院,
石川県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
石川県,金沢医科大学,university_hospital,care,,金沢医科大学病院,
石川県,金沢大学,university_hospital,care,,国立大学法人金沢大学附属病院,
神奈川県,北里大学,university_hospital,care,,北里大学病院,
神奈川県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
神奈川県,昭和医科大学横浜市北部病院,renamed,care,,昭和大学横浜市北部病院,同上
神奈川県,東海大学,university_hospital,care,,東海大学医学部付属病院,本院(伊勢原)
神奈川県,横浜市立大学,university_hospital,care,,公立大学法人横浜市立大学附属病院,
神奈川県,聖マリアンナ医科大学,university_hospital,care,,聖マリアンナ医科大学病院,
福井県,福井大学,university_hospital,care,,福井大学医学部附属病院,
福井県,福井県丹南健康福祉センター・丹南保健所,renamed,non_care,,福井県丹南健康福祉センター,
福岡県,久留米大学,university_hospital,care,,久留米大学病院,
福岡県,九州大学,university_hospital,care,,九州大学病院,
福岡県,保健医療経営大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
福岡県,北九州市保健福祉局保健所,renamed,non_care,,北九州市保健所,
福岡県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
福岡県,株式会社リチェルクリニカ,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
福岡県,産業医科大学,university_hospital,care,,産業医科大学病院,
福岡県,福岡歯科大学,university_hospital,care,,福岡歯科大学医科歯科総合病院,歯科大学だが医科歯科総合病院を持つ
福島県,福島県立医科大学,university_hospital,care,,公立大学法人　福島県立医科大学附属病院,
秋田県,秋田大学,university_hospital,care,,秋田大学医学部附属病院,
群馬県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
群馬県,群馬大学,university_hospital,care,,群馬大学医学部附属病院,
茨城県,筑波大学,university_hospital,care,,筑波大学附属病院,
長崎県,長崎大学,university_hospital,care,,長崎大学病院,
長野県,信州大学,university_hospital,care,,信州大学医学部附属病院,
青森県,弘前大学,university_hospital,care,,弘前大学医学部附属病院,
青森県,青森県立保健大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
静岡県,浜松医科大学,university_hospital,care,,浜松医科大学医学部附属病院,
香川県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
香川県,香川大学,university_hospital,care,,香川大学医学部附属病院,
高知県,高知大学,university_hospital,care,,高知大学医学部附属病院,
高知県,高知学園大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
高知県,高知県須崎福士保健所,renamed,non_care,,高知県須崎保健所,「福士」は名簿側の誤記とみられる
鳥取県,鳥取大学,university_hospital,care,,鳥取大学医学部附属病院,
鹿児島県,鹿児島大学,university_hospital,care,,鹿児島大学病院,
